provider_name,course_name,course_structure,unit_count,chapter_count,exercise_count,exercise_duration,unit_duration,e_blocks,e_block_sizes,e_block_count,max_e_block_size,avg_e_block_size,std_e_block_size,distances_between_e_blocks,max_e_block_distance,avg_e_block_distance,std_e_block_distance,has_e,gaps_between_e_units,max_sections_without_e,avg_sections_without_e,std_sections_without_e,e_blocks_per_section,max_e_blocks_per_section,avg_e_blocks_per_section,std_e_blocks_per_section,exercise_density,avg_e_per_unit,avg_time_between_e_blocks
FutureLearn,Fut-EC,vtd|td|td|vtd|td|vtd|td|vtd|vtd|td|eeee|vtd|vtd|td|vtd|td|td|td|td|td|td|td|td|vtd|td|vtd,26,2,4,1200.0,17118.0,"[(25, 28)]",[4],1,4,4.0,0.0,[25],25,25.0,0.0,"[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",[10],10,10.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1.0,0.1923076923076923,0.07010164738871363,0.15384615384615385,0.0
FutureLearn,Fut-ENT,vtd|tpd|td|td|td|tvtd|eeee|atd|td|td|td|td|tvtd|tpd|td|td|tvtd|td|eeee|td|td|td|vtd|td|t|dtvtd|td|td|td|td|td|td|td|td|td|atd|tvtd|tvd|td|eeee|atd|td|eeee|td|vtd|td|vtd|td|tvtd|td|td|td|td|td|vtd|vtd|eeeee|td|td|td|td|tvtd|eeeeeeee|vtd|td|td|td|td|td|vtd|pd|td|vtd|td|td|td|td|td|td|td|td|td|td|eeeee|td,85,4,34,10200.0,47865.0,"[(16, 19), (48, 51), (99, 102), (108, 111), (144, 148), (161, 168), (212, 216)]","[4, 4, 4, 4, 5, 8, 5]",7,8,4.857142857142857,1.355261854357877,"[16, 28, 47, 5, 32, 12, 43]",47,26.142857142857142,14.67192237310602,"[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False]","[6, 11, 20, 2, 13, 5, 20]",20,11.0,6.6332495807108,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,1.0,0.2749016810717158,0.2130993418990912,0.4,104.625
IxDF,IxDF-HCI,t|vtvte|tvtvtve|tvtvtve|tvee|td|t|tv|tvte|tve|tve|tvte|tvte|tvte|tvte|td|tvte|td|tvte|tvte|td|tve|tve|tvte|tvte|tvte|tve|tvee|td|t|tve|tvte|tvte|tvte|tvtvte|tve|tvtv|tve|tve|tvte|tve|td|td|t,44,3,33,20100.0,44798.0,"[(5, 5), (12, 12), (19, 19), (22, 23), (32, 32), (35, 35), (38, 38), (42, 42), (46, 46), (50, 50), (54, 54), (60, 60), (66, 66), (70, 70), (75, 75), (78, 78), (82, 82), (86, 86), (90, 90), (93, 93), (96, 97), (103, 103), (107, 107), (111, 111), (115, 115), (121, 121), (124, 124), (131, 131), (134, 134), (138, 138), (141, 141)]","[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31,2,1.064516129032258,0.24567010018915833,"[5, 6, 6, 2, 8, 2, 2, 3, 3, 3, 3, 5, 5, 3, 4, 2, 3, 3, 3, 2, 2, 5, 3, 3, 3, 5, 2, 6, 2, 3, 2]",8,3.5161290322580645,1.54232685004928,"[False, True, True, True, True, False, False, False, True, True, True, True, True, True, True, False, True, False, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, False, True, True, True, True, False, False, False]","[1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3,0.3225806451612903,0.6903527277107321,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]",1,1.0,0.45624681590647115,0.44868074467610164,0.75,13.72111111111111
IxDF,IxDF-IDU,ve|ve|ve|ve|v|td|vee|ve|ve|ve|ve|td|ve|ve|ve|ve|td|ve|vee|ve|ve|td|ve|ve|ve|vee|ve|td|ve|vee|ve|ve|td|ve|vee|ve|ve|ve|td|ve|ve|ve|ve|ve|td|ve|ve|ve|ve|vee|ve|td|ve|vee|ve|ve|ve|td|vee|ve|ve|ve|v|td|ve|ve|ve|veee|td,69,12,65,38700.0,111037.0,"[(1, 1), (3, 3), (5, 5), (7, 7), (12, 13), (15, 15), (17, 17), (19, 19), (21, 21), (25, 25), (27, 27), (29, 29), (31, 31), (35, 35), (37, 38), (40, 40), (42, 42), (46, 46), (48, 48), (50, 50), (52, 53), (55, 55), (59, 59), (61, 62), (64, 64), (66, 66), (70, 70), (72, 73), (75, 75), (77, 77), (79, 79), (83, 83), (85, 85), (87, 87), (89, 89), (91, 91), (95, 95), (97, 97), (99, 99), (101, 101), (103, 104), (106, 106), (110, 110), (112, 113), (115, 115), (117, 117), (119, 119), (123, 124), (126, 126), (128, 128), (130, 130), (135, 135), (137, 137), (139, 139), (141, 143)]","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3]",55,3,1.1818181818181819,0.43026034786179024,"[1, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 4, 1, 1, 1]",4,1.4363636363636363,0.8896094416527321,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, False, False, True, True, True, True, False]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0]",2,0.23636363636363636,0.5032128182944744,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1,1.0,0.4021575920438148,0.3485324711582626,0.9420289855072463,22.32623456790123
IxDF,IxDF-UI,te|tvee|td|te|te|te|te|td|tee|te|tve|te|te|te|te|tee|td|td|te|te|te|te|te|tve|te|te|tee|td|t|te|td|tve|tee|te|te|te|te|td|t|te|te|te|tvee|te|te|te|te|td|td|t|te|tve|te|te|tee|te|te|te|te|te|td|t|te|tve|tee|td|td|td|td|t,70,7,59,45300.0,81426.0,"[(1, 1), (4, 5), (9, 9), (11, 11), (13, 13), (15, 15), (19, 20), (22, 22), (25, 25), (27, 27), (29, 29), (31, 31), (33, 33), (35, 36), (42, 42), (44, 44), (46, 46), (48, 48), (50, 50), (53, 53), (55, 55), (57, 57), (59, 60), (65, 65), (70, 70), (72, 73), (75, 75), (77, 77), (79, 79), (81, 81), (86, 86), (88, 88), (90, 90), (93, 94), (96, 96), (98, 98), (100, 100), (102, 102), (109, 109), (112, 112), (114, 114), (116, 116), (118, 119), (121, 121), (123, 123), (125, 125), (127, 127), (129, 129), (134, 134), (137, 137), (139, 140)]","[1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2]",51,2,1.1568627450980393,0.3636713135488511,"[1, 2, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1]",6,1.607843137254902,1.1894706578904393,"[True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True, False, False, False, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, False, False, False, False, False]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",3,0.27450980392156865,0.6882325009719311,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",1,1.0,0.4446966404649538,0.5563333578955125,0.8428571428571429,12.042
Udacity,Uda-CM,v|v|e|v|te|v|v|vt|e|t|v|vt|tvt|v|vt|te|vt|vt|teet|v|v|vt|vt|v|v|v|tvt|vt|vt|tet|v|v|vt|teet|vt|v|vt|v|vt|vt|vtvt|teet|t|v|vt|vt|vt|tet|v|tet|v|t|v|vt|tet|vt|vt|tvt|vt|vt|vt|vt|te|tet|v|v|t|vt|vt|v|vt|vt|v|vt|tet|vt|vt|t,78,3,17,7620.0,17791.0,"[(2, 2), (5, 5), (10, 10), (22, 22), (28, 29), (48, 48), (55, 56), (73, 74), (85, 85), (89, 89), (97, 97), (115, 115), (117, 117), (135, 135)]","[1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1]",14,2,1.2142857142857142,0.4103259033241448,"[2, 2, 4, 11, 5, 18, 6, 16, 10, 3, 7, 17, 1, 17]",18,8.5,6.044477999440009,"[False, False, True, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False]","[2, 1, 3, 6, 2, 10, 3, 7, 5, 1, 4, 7, 0, 10]",10,4.357142857142857,3.1306581429730183,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1,1.0,0.3837597319768144,0.4283064470799843,0.21794871794871795,13.03974358974359
Udacity,Uda-JS,v|vt|vt|t|vtv|tetev|v|v|tetet|e|vt|e|vt|tee|vte|e|tvte|tvtvte|te|e|e|e|e|vt|e|vte|tete|te|e|e|e|e|v|v|te|v|t|te|e|te|e|v|tvteee|vt|e|e|te|v|tet|tvte|te|vte|tvte|te|v|v|v|tvte|e|e|e|v|vt|vte|vt|e|e|e|e|e|v|v|v|tee|t|e|e|vtee|te|v|vte|ve|t|t|tve|t|e|vtvt|tvt|t|e|e|e|v|v|vt|te|v|tetvte|e|e|e|vt|te|tvt|tvte|tvte|e|e|e|eee|t|vt|e|vt|e|v|tvtvt|e|v|v|vt|e|v|t|ve|t|e|e|e|e|e|v,133,7,92,101280.0,112155.0,"[(10, 10), (12, 12), (17, 17), (19, 19), (21, 21), (24, 24), (28, 29), (32, 32), (33, 33), (37, 37), (43, 43), (45, 45), (46, 46), (47, 47), (48, 48), (49, 49), (52, 52), (55, 55), (57, 57), (59, 59), (61, 61), (62, 62), (63, 63), (64, 64), (65, 65), (69, 69), (73, 73), (74, 74), (76, 76), (77, 77), (82, 84), (87, 87), (88, 88), (90, 90), (93, 93), (98, 98), (100, 100), (103, 103), (107, 107), (109, 109), (116, 116), (117, 117), (118, 118), (119, 119), (125, 125), (128, 128), (129, 129), (130, 130), (131, 131), (132, 132), (137, 138), (140, 140), (141, 141), (144, 145), (147, 147), (151, 151), (153, 153), (158, 158), (160, 160), (169, 169), (170, 170), (171, 171), (177, 177), (180, 180), (184, 184), (185, 185), (186, 186), (187, 187), (191, 191), (198, 198), (202, 202), (203, 203), (204, 204), (205, 205), (206, 208), (212, 212), (215, 215), (222, 222), (227, 227), (231, 231), (233, 233), (234, 234), (235, 235), (236, 236), (237, 237)]","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",85,3,1.0823529411764705,0.3501853192032287,"[10, 1, 4, 1, 1, 2, 3, 2, 0, 3, 5, 1, 0, 0, 0, 0, 2, 2, 1, 1, 1, 0, 0, 0, 0, 3, 3, 0, 1, 0, 4, 2, 0, 1, 2, 4, 1, 2, 3, 1, 6, 0, 0, 0, 5, 2, 0, 0, 0, 0, 4, 1, 0, 2, 1, 3, 1, 4, 1, 8, 0, 0, 5, 2, 3, 0, 0, 0, 3, 6, 3, 0, 0, 0, 0, 3, 2, 6, 4, 3, 1, 0, 0, 0, 0]",10,1.7176470588235293,2.0327423650062864,"[False, False, False, False, False, True, False, False, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, False, True, False, True, True, True, False, True, True, True, True, True, True, False, False, False, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False, False, True, False, True, True, True, True, False, True, True, False, False, True, False, True, False, False, False, True, True, True, False, False, False, True, False, True, True, True, True, False, True, False, True, True, True, True, True, True, False, False, True, False, True, False, False, True, False, False, False, True, False, False, True, False, True, True, True, True, True, False]","[5, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 0, 2, 1, 3, 0, 0, 3, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 1, 2, 3, 2, 1, 0, 0, 0, 0]",5,0.6296296296296297,1.0237240711915003,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",2,1.0493827160493827,0.539260784271913,0.9030359769961215,0.6917293233082706,2.1577380952380953
Udacity,Uda-RWD,v|tev|v|v|vt|vt|v|vt|vt|vt|v|v|v|e|e|e|e|te|vt|vet|v|v|te|v|e|v|te|vt|v|v|v|v|v|v|v|v|vte|v|v|te|v|te|vt|vt|v|v|v|te|v|v|v|v|te|tev|te|v|te|vt|te|tetv|v|v|vt|v|v|te|vt|vt|v|v|te|v,72,5,22,17580.0,23611.0,"[(2, 2), (20, 20), (21, 21), (22, 22), (23, 23), (25, 25), (29, 29), (34, 34), (36, 36), (39, 39), (52, 52), (56, 56), (59, 59), (68, 68), (74, 74), (76, 76), (79, 79), (82, 82), (86, 86), (88, 88), (98, 98), (106, 106)]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",22,1,1.0,0.0,"[2, 17, 0, 0, 0, 1, 3, 4, 1, 2, 12, 3, 2, 8, 5, 1, 2, 2, 3, 1, 9, 7]",17,3.8636363636363638,4.213565263693558,"[False, True, False, False, False, False, False, False, False, False, False, False, False, True, True, True, True, True, False, True, False, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False, False, True, False, False, False, False, True, True, True, False, True, False, True, True, False, False, False, False, False, True, False, False, False, False, True, False]","[1, 11, 0, 0, 0, 0, 1, 2, 1, 1, 9, 2, 1, 5, 4, 0, 0, 1, 1, 0, 5, 4]",11,2.227272727272727,2.9377142967375502,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",1,1.0,0.4606423319938055,0.7445682097327517,0.3055555555555556,4.786507936507936
edX,edX-AS,v|v|v|v|t|e|v|v|v|e|v|v|e|d|t|v|v|v|t|t|e|v|t|v|v|t|t|e|v|v|t|v|t|t|e|t|v|t|v|t|e|v|t|v|v|t|e|v|v|t|v|t|e|d|t,55,3,9,13500.0,27655.0,"[(5, 5), (9, 9), (12, 12), (20, 20), (27, 27), (34, 34), (40, 40), (46, 46), (52, 52)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,1,1.0,0.0,"[5, 3, 2, 7, 6, 6, 5, 5, 5]",7,4.888888888888889,1.4487116456005884,"[False, False, False, False, False, True, False, False, False, True, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True, False, False]","[5, 3, 2, 7, 6, 6, 5, 5, 5]",7,4.888888888888889,1.4487116456005884,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,1.0,0.3699452718068329,0.48815765684324713,0.16363636363636364,29.489583333333332
edX,edX-IS,vpdtptdtv|vedvedveedvedte|vedvpd|vedttedved|vdtt|tvtedvedted|vededeed|evedvedtedvedtedted|vedttedtedted|ved|ttt|vdtt|tveed|vedveedved|tttt|tetdtedtedtedted|vdtt|tved|vedveedvpedtedtded|teedted|ved|vdtt|tvedve|vedvedveeed|ved|vdvdtt|vtt,27,6,59,53700.0,85325.0,"[(10, 10), (13, 13), (16, 17), (20, 20), (23, 23), (25, 25), (31, 31), (35, 35), (38, 38), (47, 47), (50, 50), (53, 53), (56, 56), (58, 58), (60, 61), (63, 63), (65, 65), (68, 68), (71, 71), (74, 74), (77, 77), (80, 80), (83, 83), (87, 87), (90, 90), (93, 93), (96, 96), (107, 108), (111, 111), (114, 115), (118, 118), (125, 125), (129, 129), (132, 132), (135, 135), (138, 138), (146, 146), (149, 149), (152, 153), (157, 157), (160, 160), (164, 164), (167, 168), (171, 171), (174, 174), (182, 182), (185, 185), (187, 187), (190, 190), (193, 195), (198, 198)]","[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1]",51,3,1.1568627450980393,0.4140923937635858,"[10, 2, 2, 2, 2, 1, 5, 3, 2, 8, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 10, 2, 2, 2, 6, 3, 2, 2, 2, 7, 2, 2, 3, 2, 3, 2, 2, 2, 7, 2, 1, 2, 2, 2]",10,2.7450980392156863,2.084895608003112,"[False, True, True, True, False, True, True, True, True, True, False, False, True, True, False, True, False, True, True, True, True, False, True, True, True, False, False]","[1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0]",2,0.3888888888888889,0.5905636562630361,"[0, 5, 1, 3, 0, 3, 3, 7, 4, 1, 0, 0, 1, 3, 0, 5, 0, 1, 5, 2, 1, 0, 2, 3, 1, 0, 0]",7,2.8333333333333335,1.9499920860871383,0.629358335774978,2.185185185185185,10.541666666666668
